Latitude	Longitude	ltime
-14.18277377	-169.6589547	7/27/2019 12:37:49
-14.18275852	-169.6589755	7/27/2019 12:37:54
-14.18275248	-169.6589773	7/27/2019 12:37:59
-14.18274284	-169.6589896	7/27/2019 12:38:04
-14.1827125	-169.6590042	7/27/2019 12:38:09
-14.18270077	-169.6590042	7/27/2019 12:38:14
-14.18269943	-169.6590081	7/27/2019 12:38:19
-14.18268979	-169.6590162	7/27/2019 12:38:24
-14.1826814	-169.6590246	7/27/2019 12:38:29
-14.18267562	-169.6590336	7/27/2019 12:38:34
-14.18265249	-169.659041	7/27/2019 12:38:39
-14.18264218	-169.6590483	7/27/2019 12:38:44
-14.18264394	-169.659059	7/27/2019 12:38:49
-14.18264645	-169.6590617	7/27/2019 12:38:54
-14.18261854	-169.6590673	7/27/2019 12:38:59
-14.18259893	-169.6590764	7/27/2019 12:39:04
-14.18259591	-169.6590871	7/27/2019 12:39:09
-14.18257864	-169.6591061	7/27/2019 12:39:14
-14.18256825	-169.6591086	7/27/2019 12:39:19
-14.18256129	-169.6591073	7/27/2019 12:39:24
-14.1825628	-169.6591098	7/27/2019 12:39:29
-14.18256733	-169.6591143	7/27/2019 12:39:34
-14.18256129	-169.6591199	7/27/2019 12:39:39
-14.18254386	-169.6591263	7/27/2019 12:39:44
-14.18253019	-169.6591359	7/27/2019 12:39:49
-14.18251377	-169.6591508	7/27/2019 12:39:54
-14.1824965	-169.6591718	7/27/2019 12:39:59
-14.18247588	-169.6591866	7/27/2019 12:40:04
-14.18245886	-169.6591929	7/27/2019 12:40:09
-14.18244051	-169.6591895	7/27/2019 12:40:14
-14.18243506	-169.6591862	7/27/2019 12:40:19
-14.18244537	-169.6591872	7/27/2019 12:40:24
-14.18244235	-169.6591996	7/27/2019 12:40:29
-14.18244579	-169.6592052	7/27/2019 12:40:34
-14.18244361	-169.6592054	7/27/2019 12:40:39
-14.18243825	-169.6592068	7/27/2019 12:40:44
-14.18242659	-169.6592162	7/27/2019 12:40:49
-14.18241184	-169.659228	7/27/2019 12:40:54
-14.18239424	-169.6592328	7/27/2019 12:40:59
-14.18236348	-169.6592534	7/27/2019 12:41:04
-14.18234898	-169.6592669	7/27/2019 12:41:09
-14.18234303	-169.6592751	7/27/2019 12:41:14
-14.18233406	-169.6592767	7/27/2019 12:41:19
-14.18234177	-169.6592736	7/27/2019 12:41:24
-14.18234294	-169.6592685	7/27/2019 12:41:29
-14.18233431	-169.659272	7/27/2019 12:41:34
-14.18233205	-169.6592805	7/27/2019 12:41:39
-14.1823204	-169.6592938	7/27/2019 12:41:44
-14.18229726	-169.6593109	7/27/2019 12:41:49
-14.18228142	-169.6593215	7/27/2019 12:41:54
-14.18227287	-169.6593269	7/27/2019 12:41:59
-14.18228528	-169.6593388	7/27/2019 12:42:04
-14.18229391	-169.6593385	7/27/2019 12:42:09
-14.18229232	-169.6593427	7/27/2019 12:42:14
-14.18229014	-169.6593462	7/27/2019 12:42:19
-14.18229064	-169.6593518	7/27/2019 12:42:24
-14.18229382	-169.6593569	7/27/2019 12:42:29
-14.18231076	-169.6593609	7/27/2019 12:42:34
-14.1823214	-169.6593739	7/27/2019 12:42:39
-14.18233984	-169.6593789	7/27/2019 12:42:44
-14.18236163	-169.6593839	7/27/2019 12:42:49
-14.18238267	-169.6593725	7/27/2019 12:42:54
-14.18239868	-169.6593725	7/27/2019 12:42:59
-14.18240975	-169.6593801	7/27/2019 12:43:04
-14.18241687	-169.659376	7/27/2019 12:43:09
-14.18243095	-169.6593785	7/27/2019 12:43:14
-14.18243598	-169.6593824	7/27/2019 12:43:19
-14.1824426	-169.6593844	7/27/2019 12:43:24
-14.18244872	-169.6593813	7/27/2019 12:43:29
-14.18244311	-169.6593809	7/27/2019 12:43:34
-14.18245224	-169.6593692	7/27/2019 12:43:39
-14.18246741	-169.6593706	7/27/2019 12:43:44
-14.18248326	-169.6593741	7/27/2019 12:43:49
-14.18249692	-169.6593676	7/27/2019 12:43:54
-14.18250589	-169.6593635	7/27/2019 12:43:59
-14.18252232	-169.6593604	7/27/2019 12:44:04
-14.18253967	-169.6593471	7/27/2019 12:44:09
-14.18255735	-169.65934	7/27/2019 12:44:14
-14.18256691	-169.6593373	7/27/2019 12:44:19
-14.18257395	-169.6593305	7/27/2019 12:44:24
-14.18257738	-169.6593268	7/27/2019 12:44:29
