ident	Latitude	Longitude	time
T5534	-14.18129814	-169.657549	2019/06/24 20:23:17+00
T5534	-14.18133108	-169.6575474	2019/06/24 20:23:22+00
T5534	-14.18136058	-169.6575504	2019/06/24 20:23:27+00
T5534	-14.18139302	-169.6575553	2019/06/24 20:23:32+00
T5534	-14.18142957	-169.6575589	2019/06/24 20:23:37+00
T5534	-14.18146921	-169.657561	2019/06/24 20:23:42+00
T5534	-14.18150257	-169.6575605	2019/06/24 20:23:47+00
T5534	-14.18153803	-169.6575602	2019/06/24 20:23:52+00
T5534	-14.18157231	-169.6575622	2019/06/24 20:23:57+00
T5534	-14.18158798	-169.6575661	2019/06/24 20:24:02+00
T5534	-14.18162897	-169.6575649	2019/06/24 20:24:07+00
T5534	-14.18166711	-169.6575637	2019/06/24 20:24:12+00
T5534	-14.18170868	-169.6575645	2019/06/24 20:24:17+00
T5534	-14.18175009	-169.6575644	2019/06/24 20:24:22+00
T5534	-14.18177809	-169.6575701	2019/06/24 20:24:27+00
T5534	-14.18179292	-169.6575704	2019/06/24 20:24:32+00
T5534	-14.18181589	-169.6575693	2019/06/24 20:24:37+00
T5534	-14.18183391	-169.6575709	2019/06/24 20:24:42+00
T5534	-14.18185294	-169.6575802	2019/06/24 20:24:47+00
T5534	-14.18187532	-169.6575812	2019/06/24 20:24:52+00
T5534	-14.18190641	-169.6575759	2019/06/24 20:24:57+00
T5534	-14.18192368	-169.6575714	2019/06/24 20:25:02+00
T5534	-14.18194011	-169.6575846	2019/06/24 20:25:07+00
T5534	-14.18193097	-169.6576146	2019/06/24 20:25:12+00
T5534	-14.18191253	-169.6576331	2019/06/24 20:25:17+00
T5534	-14.18189359	-169.6576492	2019/06/24 20:25:22+00
T5534	-14.18186844	-169.6576687	2019/06/24 20:25:27+00
T5534	-14.18184958	-169.6576801	2019/06/24 20:25:32+00
T5534	-14.18182938	-169.657684	2019/06/24 20:25:37+00
T5534	-14.18181354	-169.6576911	2019/06/24 20:25:42+00
T5534	-14.18179611	-169.6576978	2019/06/24 20:25:47+00
T5534	-14.18177105	-169.6577042	2019/06/24 20:25:52+00
T5534	-14.18174548	-169.6577047	2019/06/24 20:25:57+00
T5534	-14.18172176	-169.6577099	2019/06/24 20:26:02+00
T5534	-14.18169209	-169.6577211	2019/06/24 20:26:07+00
T5534	-14.18166895	-169.6577384	2019/06/24 20:26:12+00
T5534	-14.18164431	-169.6577612	2019/06/24 20:26:17+00
T5534	-14.18162059	-169.6577753	2019/06/24 20:26:22+00
T5534	-14.18160249	-169.657785	2019/06/24 20:26:27+00
T5534	-14.18158413	-169.6577943	2019/06/24 20:26:32+00
T5534	-14.18156636	-169.6577983	2019/06/24 20:26:37+00
T5534	-14.18154666	-169.6578031	2019/06/24 20:26:42+00
T5534	-14.18152688	-169.6578122	2019/06/24 20:26:47+00
T5534	-14.18150827	-169.6578228	2019/06/24 20:26:52+00
T5534	-14.18149595	-169.6578326	2019/06/24 20:26:57+00
T5534	-14.18148397	-169.6578433	2019/06/24 20:27:02+00
T5534	-14.18145765	-169.6578575	2019/06/24 20:27:07+00
T5534	-14.1814361	-169.6578681	2019/06/24 20:27:12+00
T5534	-14.18141775	-169.6578777	2019/06/24 20:27:17+00
T5534	-14.18140828	-169.6578845	2019/06/24 20:27:22+00
T5534	-14.18139235	-169.6578909	2019/06/24 20:27:27+00
T5534	-14.18136612	-169.657903	2019/06/24 20:27:32+00
T5534	-14.18134675	-169.6579186	2019/06/24 20:27:37+00
T5534	-14.18132848	-169.6579278	2019/06/24 20:27:42+00
T5534	-14.18130912	-169.6579335	2019/06/24 20:27:47+00
T5534	-14.18129671	-169.6579408	2019/06/24 20:27:52+00
T5534	-14.18128288	-169.6579514	2019/06/24 20:27:57+00
T5534	-14.18127819	-169.65796	2019/06/24 20:28:02+00
T5534	-14.18126637	-169.6579626	2019/06/24 20:28:07+00
T5534	-14.18125338	-169.6579681	2019/06/24 20:28:12+00
T5534	-14.18124055	-169.6579792	2019/06/24 20:28:17+00
T5534	-14.18122136	-169.6579923	2019/06/24 20:28:22+00
T5534	-14.18120619	-169.6580035	2019/06/24 20:28:27+00
T5534	-14.18118523	-169.6580133	2019/06/24 20:28:32+00
T5534	-14.18117157	-169.6580178	2019/06/24 20:28:37+00
T5534	-14.18115959	-169.6580248	2019/06/24 20:28:42+00
T5534	-14.18115422	-169.6580352	2019/06/24 20:28:47+00
T5534	-14.181159	-169.6580416	2019/06/24 20:28:52+00
T5534	-14.18116839	-169.6580572	2019/06/24 20:28:57+00
T5534	-14.18119353	-169.658073	2019/06/24 20:29:02+00
T5534	-14.18122253	-169.6580756	2019/06/24 20:29:07+00
T5534	-14.18124701	-169.6580826	2019/06/24 20:29:12+00
T5534	-14.18127031	-169.6580854	2019/06/24 20:29:17+00
T5534	-14.18129764	-169.6580846	2019/06/24 20:29:22+00
T5534	-14.18132672	-169.6580772	2019/06/24 20:29:27+00
T5534	-14.18135505	-169.6580631	2019/06/24 20:29:32+00
T5534	-14.18138246	-169.6580502	2019/06/24 20:29:37+00
T5534	-14.18141289	-169.6580362	2019/06/24 20:29:42+00
T5534	-14.18144071	-169.6580235	2019/06/24 20:29:47+00
